song_id,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,outcome
6QQn8Soo2e2RjMaJN4cyBl,205611,FALSE,57n0GwAnyELOvq620O2tOJ,1,0.568793,0.914791,-1.78,0.270801,163.848,0
5ETuKKgjM15Ew6QUJXbrb1,196200,FALSE,5ILMkt5lW4KAyTXMNYWaGF,1,0.735244,0.819555,-4.443,0.052626,96.948,0
2l3m4kk70k6gqIg7YTq4qH,285613,TRUE,2retT7MFwHDVTeGKDdybEx,1,0.581458,0.4871,-6.653,0.03539,112.925,0
4008dpmqe3536dNu10BVAM,195126,FALSE,1SwDFc5jX708XR3XtzLrRs,3,0.657342,0.630612,-6.477,0.185597,151.941,0
7mgBAyhwLXvWx7QCQ75AzH,209538,FALSE,1HxJeLhIuegM3KgvPn8sTa,4,0.758492,0.822873,-0.928,0.042884,130.016,0
23cdP21hBoVGfHggcqBaPA,396373,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.483674,0.784912,-6.603,0.363731,167.043,0
6h8EgoAUsNBG1gjLcdIMYr,243487,FALSE,6vR4znOzSB27dPoCFerTWS,2,0.666335,0.730229,-7.609,0.047243,104.048,0
4UtLXegebv7qNBF26nivhZ,216013,TRUE,5IcR3N7QB1j6KBL8eImZ8m,1,0.60189,0.795234,-8.099,0.070131,112.001,0
0PftcoTraEZgrmw3LoBQxd,221266,FALSE,6ZcGLGVj85BeNBUMn23YMZ,2,0.617284,0.886882,-3.848,0.2449,93.641,0
1MEN5EHIei9sY4wlfVaNDW,282298,TRUE,5IcR3N7QB1j6KBL8eImZ8m,5,0.836269,0.719682,-5.603,0.136863,130.004,0
02mv8U3WcV07n5lLHuUPDm,408000,FALSE,1Uff91EOsvd99rtAupatMP,2,0.373089,0.008176,-31.846,0.050585,72.658,0
5b88tNINg4Q4nrRbrCXUmg,232720,FALSE,2RdwBSPQiwcmiDo9kixcl8,1,0.651098,0.809944,-4.61,0.179313,160.047,0
3kUfXDl0lN4AcGpZPzX7Su,216880,FALSE,134GdR5tUtxJrf8cpsfpyY,1,0.629663,0.545725,-7.747,0.296264,89.795,0
50qE377mteo6OiSo1zVpKi,265254,FALSE,6wPBIyIIMxoqgux29bGF8I,1,0.671704,0.734991,-5.58,0.031525,121.978,0
0PO7e4DTQk2Yj7jX8ya7R9,307500,FALSE,7ngc403KEvIhqq8rliTPgL,3,0.719303,0.868477,-5.34,0.048289,127.983,0
1BapjD4yGHAgDwvdGnlRBs,171002,FALSE,7dc6hUwyuIhrZdh80eaCEE,3,0.577232,0.896058,-1.435,0.054702,128.037,0
65xRkSpFvqtaDYfqBuC8NZ,277559,FALSE,5oOhM2DFWab8XhSdQiITry,1,0.548847,0.662564,-7.555,0.046351,114.494,0
10MIl3CBIKjIMxtGPoR019,180651,FALSE,0uLodbEmWZDnBMeuJhBMMY,2,0.680395,0.722123,-8.262,0.068021,119.973,0
76Kx0jJlXdKP0GR8aNTSMQ,255067,TRUE,1FvjvACFvko2Z91IvDljrx,2,0.560408,0.412035,-11.625,0.108578,119.802,0
69x16JmnJxuLVP9ELBoY03,231933,TRUE,2YZyLoL8N0Wb9xBt1NhZWg,1,0.757387,0.886004,-5.343,0.063362,121.961,0
2hmStaGB8yu9lkQWSZ9WKF,185626,FALSE,53oE0nOoC4lJeqbG5Pjc5u,2,0.694138,0.771902,-5.361,0.273638,90.157,0
4r9fpTyxRjVTeVxZdWg0DE,205250,FALSE,0XDfNJsQy7B3q0GfsMHSkp,1,0.577008,0.748508,-5.965,0.268171,95.976,0
0qaGri80rAPOcbJi4OyLQZ,153696,FALSE,7yPPzu5UdAK7yagQqjEZQm,1,0.674456,0.942672,-3.343,0.038009,100.001,0
50FEIR7YRWQ1qz5egYqvZc,276120,FALSE,2o18h28enlHxj887tATc58,1,0.514871,0.801091,-4.577,0.03493,129.988,0
6zuQUtY40YRNZprLy96QGR,249647,FALSE,4UGoqrmNHDJ166XD6DtZni,1,0.173298,0.503249,-8.734,0.035199,119.011,0
7afpUwF5MJyo3gn0XHGf0j,259500,FALSE,6w5waykNLa0CSprI42WPLo,2,0.809433,0.696464,-4.837,0.373104,81.013,0
4shRbnH0XiVuiOalMEKTNw,325653,TRUE,20qISvAhX20dpIbOOzGK3q,2,0.764161,0.685339,-6.682,0.267794,92.947,0
4amU151BcUJ8ZCtogTmPb3,241333,FALSE,21egYD1eInY6bGFcniCRT1,1,0.335319,0.231437,-7.517,0.030087,149.342,0
3jihIG6ry4oRPhKwn9PLja,253824,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.548024,0.567905,-7.968,0.409813,136.736,0
45nabbUoJ9Wpemitp13yCk,210306,FALSE,2P87oRX5tCFl1PYQRbPCPD,2,0.753553,0.785548,-4.9,0.278165,170.061,0
1uMCoTugFgJsjFfYpTGX4J,265586,FALSE,2o18h28enlHxj887tATc58,1,0.546785,0.916013,-4.662,0.043831,130.039,0
5fnA9mkIfScSqHIpeDyvck,189399,FALSE,50OApTJurDusIo9dGTqSU4,2,0.7526,0.83214,-6.933,0.026525,122.996,0
1yYXSxVJaFFfI3Qwci2pbA,247098,FALSE,6nS5roXSAGhTGr34W6n7Et,2,0.760949,0.895229,-6.573,0.172362,125.044,0
0Kz9aGVgFvndWkcaiylIt5,350911,FALSE,7tYKF4w9nC0nq9CsPZTHyP,2,0.387028,0.496995,-8.628,0.222037,84.222,0
0Eplknl5HdAWEZ4c6jIVrX,209655,FALSE,1HxJeLhIuegM3KgvPn8sTa,4,0.541621,0.776606,-4.486,0.106691,173.985,0
0KZK8rrdzRza3hSvpS2jZq,216840,FALSE,4VNQWV2y1E97Eqo2D5UTjx,2,0.742531,0.745633,-6.833,0.039736,121.009,0
00fyh6rdq1MskrFcae4efz,215014,FALSE,2vUCVkeZjzDcaoX4gagHdV,1,0.690318,0.845304,-3.585,0.044971,127.995,0
4E5iR7RrC5yI6xA7zIEWlY,274825,TRUE,1FvjvACFvko2Z91IvDljrx,1,0.525915,0.628839,-9.58,0.324615,82.362,0
546jptkBtmJ076SnwEg3fn,200946,TRUE,0fA0VVWsXO9YnASrzqfmYu,1,0.74943,0.673152,-7.832,0.140897,140.059,0
4smm8mLspYEgqQSrIEOydA,202159,FALSE,5vBSrE1xujD2FXYRarbAXc,1,0.492747,0.620497,-8.344,0.088754,81.74,0
65ygZvG52p7DBZkIUKvDpL,246186,FALSE,3Rsr4Z96O6U3lToOiV3zBh,1,0.546021,0.911269,-4.639,0.072852,145.205,0
3C4w6xn8ywZX6tPY110Avs,174880,FALSE,4Nx36PEzJoS5uSPoYZ7E5B,1,0.527647,0.895207,-4.578,0.054036,132.054,0
1jVmyCztRarGQBADYca8k3,223124,FALSE,0E1pXFeZDRIaKr1993EZEn,3,0.526358,0.637077,-7.38,0.055951,128.079,0
0fjm1OlNI55UKaGC12Cuvd,244986,FALSE,4mAknRKFOyJ4G9MTwlaw6Y,8,0.496755,0.686321,-6.995,0.274571,139.169,0
0LH5xRQz5D36FpIkYUFv2e,205800,FALSE,0awl5piYwO0CDTHEkCjUhn,1,0.431086,0.809697,-6.051,0.095827,110.118,0
1gHF0I223J5pv06SuBcmkz,250426,FALSE,6eUKZXaKkcviH0Ku9w2n3V,1,0.763016,0.721694,-7.083,0.158454,87.476,0
1PCvKFPWnTXAe2oaReVUcr,222520,FALSE,0TnOYISbd1XYRBk9myaseg,3,0.594686,0.941638,-3.605,0.070662,124.989,0
7xPNMJYOXiiWR4rmKxBqku,219493,TRUE,04gDigrS5kc9YWfZHwBETP,1,0.615569,0.848571,-6.105,0.052366,126.069,0
71DG0Il1NpWwcsTnSTN9vL,333694,TRUE,0g9vAlRPK9Gt3FKCekk4TW,3,0.761654,0.516512,-9.132,0.435622,125.947,0
5DEY992nQtb7yfdWmwPH0T,244386,TRUE,6vXTefBL93Dj5IqAWq6OTv,2,0.705532,0.639184,-7.756,0.132629,99.963,0
5XubhWRmDNMaW6J57chkiC,254066,FALSE,06cLuOP0p7VAnBnqil1eWX,2,0.455578,0.958808,-6.244,0.069015,128.736,0
3YaLUA5pNs0PSlEbMkOYuS,259453,FALSE,2retT7MFwHDVTeGKDdybEx,1,0.469474,0.474769,-7.204,0.050515,114.739,0
5eWgDlp3k6Tb5RD8690s6I,235493,TRUE,04gDigrS5kc9YWfZHwBETP,1,0.745122,0.748826,-7.047,0.032684,120.083,0
4YvwgEcvZfSwr8Pq8S3kt1,294948,TRUE,1fd3fmwlhrDl2U5wbbPQYN,2,0.615584,0.796917,-6.245,0.096306,174.078,0
5qbOcTuNqXKnNeet9IKTCi,233600,TRUE,2retT7MFwHDVTeGKDdybEx,1,0.393411,0.720697,-5.948,0.054054,96.813,0
6AaOtHsKd195ec0Y4kC9ER,206266,TRUE,0bdJZl7TDeiymDYzMJnVh2,3,0.703907,0.388043,-15.055,0.35938,77.089,0
1bho4Wj32rXFyIQPk4Upwh,262269,FALSE,1HxJeLhIuegM3KgvPn8sTa,4,0.719963,0.875779,-1.475,0.035623,129.954,0
1W3AIFwnsDJBXtktxILhC0,222329,FALSE,2wY79sveU1sp5g7SokKOiI,2,0.716748,0.498574,-7.123,0.047795,81.995,0
1kKfLv5RsxxQb6afxfIgsz,245093,TRUE,0bdJZl7TDeiymDYzMJnVh2,3,0.722833,0.474874,-8.728,0.223016,135.99,0
5NrXZDo2XTIvFCNUOmRaBW,249655,FALSE,75HK7rgkmDMTnWwwmcN53N,2,0.415033,0.976261,-0.843,0.049968,174.058,0
4Gw1FlfLUWLcZHZWXqQQyF,238168,TRUE,7MP4jhYmFEgb0AtiOkw55s,4,0.775589,0.942091,-0.691,0.149734,130.04,0
2tszsaDwdhbrkFAkxWWaHS,171080,TRUE,0ONHkAv9pCAFxb0zJwDNTy,1,0.482686,0.937151,-3.436,0.312008,91.689,0
61BcHhuX1h6lqKiEaYEpWm,314076,FALSE,5nkYRuiIHg2xXHFC8bfosJ,3,0.821468,0.963904,-5.545,0.035983,129.969,0
6vBYLDvY6vMzHMknz56Ls3,211130,FALSE,1kwGj7uDO5WXVXtQLvGJr0,2,0.693536,0.739045,-2.078,0.07422,119.965,0
1PVjqvOBpWn5Z5iI2oxc3K,189375,FALSE,1V9ATttwgV5rW765gKwzO8,2,0.67797,0.555853,-6.494,0.036323,128.048,0
2VOWzyQFTyrhicW9EewSEp,266562,FALSE,1JPy5PsJtkhftfdr6saN2i,2,0.509312,0.831314,-2.88,0.037856,140.019,0
6z4DBDCCA1qDzt3wCL5avW,262500,FALSE,06cLuOP0p7VAnBnqil1eWX,2,0.515548,0.890065,-4.615,0.038885,127.974,0
3FSq1X3sURiUpioOOe83sA,283593,FALSE,6H3NzBrqsSazmWOjCZiWf5,4,0.842572,0.827904,-5.762,0.112192,126.01,0
6DELyYEQR9xxO3fF4XUBjH,184973,FALSE,2P87oRX5tCFl1PYQRbPCPD,1,0.827534,0.579382,-4.556,0.131734,168.093,0
4W3XIyHvnFGxUUe1sbUffS,184235,FALSE,4C7Jub0HKSYe6F1wsB8eTf,3,0.803909,0.815948,-3.946,0.094027,170.026,0
