song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
Ride - Remix,7hpN9FyMwSUH74nlrfuPJb,"['SoMo', 'Ty Dolla $ign', 'K CAMP']",Ride (Remixes),222826,True,5AtWO8IEnjhRLzaVVQxFUs,3,0.739369,0.497267,-7.796,0.062726,115.117,Ride - Remix
Lit - Bonus,4PdDrZJOTzwmNKd8W5IW57,"['Bas', 'J. Cole', 'K-Quick']",Last Winter,278666,True,70gP6Ry4Uo0Yx6uzPIdaiJ,3,0.686321,0.58666,-6.777,0.04161,126.023,"Lit featuring J. Cole, KQuick (Bonus)"
Love 'Em All,5opJ00MqnlyQJOC0K4JHau,['K. Michelle'],Anybody Wanna Buy A Heart?,245866,False,2retT7MFwHDVTeGKDdybEx,1,0.407278,0.631221,-6.899,0.071079,126.848,Love 'Em All
Made Me,44DNRbTlkVXL80mZa2XwZl,"['Snootie Wild', 'K CAMP']",Go Mode,194746,True,1YXg2Chm7UfZAUAkjJEpqK,2,0.865474,0.714027,-6.587,0.067527,146.078,Made Me
Break The Bitch Down (feat. K. Camp),16xIGOpadMacj7UtG7ZhS8,"['Kevin Gates', 'K CAMP']",Luca Brasi 2: Gangsta Grillz,181024,True,1gPhS1zisyXr5dHTYZyiMe,2,0.864453,0.802301,-5.411,0.145895,97.969,Break The Bitch Down (feat. K. Camp)
Cry,2l3m4kk70k6gqIg7YTq4qH,['K. Michelle'],Anybody Wanna Buy A Heart?,285613,True,2retT7MFwHDVTeGKDdybEx,1,0.581458,0.4871,-6.653,0.03539,112.925,Cry
Run,1PbHGvNoLLpL3qv3aVDT9K,['EXO-K'],The 2nd Mini Album '중독 Overdose',216197,False,6wPBIyIIMxoqgux29bGF8I,1,0.693776,0.96764,-3.524,0.061358,129.997,Run
월광 Moonlight,50qE377mteo6OiSo1zVpKi,['EXO-K'],The 2nd Mini Album '중독 Overdose',265254,False,6wPBIyIIMxoqgux29bGF8I,1,0.671704,0.734991,-5.58,0.031525,121.978,Moonlight
A-I-K,54r4994i2hKw5lsy2sKRP9,['AIK Trubaduren'],Absolut Gnaget,74960,False,7j1rF2tGmoae8iY8U81Dmx,1,0.773708,0.397794,-15.596,0.126831,108.676,A-I-K
Another Day,6cYQ3r8jo3ryKXc0xP81SB,['Kestutis K'],Another Day,224432,False,2OeAjfx3iyiKxhbxwFcYtq,1,0.747889,0.64841,-7.567,0.276897,129.996,Another Day
Feminist (feat. Tiffany K),5obYXqNSW8fWqYkbev4p7M,"['Adam Opinio', 'Tiffany K']",F!,240093,False,2lIO2MK1fF8ABM8RG52MuZ,2,0.723522,0.912087,-4.753,0.076643,98.086,Feminist (feat. Tiffany K)
Hard To Do,2EVQKae3TKmmsiVaN8HCon,['K. Michelle'],Anybody Wanna Buy A Heart?,238266,True,2retT7MFwHDVTeGKDdybEx,1,0.566152,0.424958,-8.255,0.192574,144.993,Hard To Do
Fiji Water In My Iron,62VOo6wuhW3JQK6dhoc7Io,"['Bas', 'K-Quick']",Last Winter,209533,True,70gP6Ry4Uo0Yx6uzPIdaiJ,2,0.723877,0.725164,-6.277,0.108149,125.954,Fiji Water In My Iron
One of Us - Radio Edit,5MsuIpW81d3rUYSj7eHlim,"['Bastian K.', 'Gustavo Trebien']",One of Us (feat. Gustavo Trebien),227950,False,2qALYlzhx23i3VUePPkJTo,2,0.779486,0.692928,-6.352,0.036085,115.003,One of Us - Radio Edit
Maybe I Should Call,6gR1JkRUcnuEl2dG7aRzpP,['K. Michelle'],Anybody Wanna Buy A Heart?,208973,False,2retT7MFwHDVTeGKDdybEx,1,0.482574,0.465444,-7.753,0.058295,75.809,Maybe I Should Call
Good Weed Bad B*tch,01iIIgdoDuKn3yaNguCMmG,['K CAMP'],IDT - The Mixtape,200591,True,5bgfj5zUoWpyeVatGDjn6H,1,0.576236,0.604731,-5.493,0.055566,120.062,Good Weed Bad B*tch
Fire,5km3PaR3G3izli7sjjjaso,['Tiffany K'],F!,226906,False,7GygNNmOrzfxYA6FUzStyR,1,0.845005,0.519366,-7.475,0.220684,79.998,Fire
Lay You Down,1ltbxBlHsQfJCg8SuB44yU,['K-Young'],Lay You Down - EP,232120,True,17BUBnfODzDxbXw1tim7JW,1,0.501747,0.41348,-9.477,0.161536,183.895,The One That Got Away
Thunder,6HjwfUvlTn53Jf4U03RfgM,['EXO-K'],The 2nd Mini Album '중독 Overdose',191488,False,6wPBIyIIMxoqgux29bGF8I,1,0.72096,0.759697,-3.233,0.092801,98.03,Thunder
K I X S - Radio Edit,3BXVgl3pQKMk82oxsJcnHV,['Moguai'],K I X S,197812,False,4xgFgBZ7CRtgtHcziClOwQ,1,0.585198,0.798303,-4.298,0.073317,128.063,K I X S - Radio Edit
Good Night From Chicago - Mark Mansion & Linus K Remix,1JDnDFag6YEfFHHc1EeJ9M,['T. Ruggieri'],Good Night From Chicago,396000,False,39qIJ0LTVFcKoo0OYatB1R,1,0.868392,0.484165,-9.863,0.121513,120.018,Good Night From Chicago - Mark Mansion & Linus K Remix
Made Me (Remix),75Y0HwWBQAJInFaKb10Ogh,"['Snootie Wild', 'K CAMP', 'Jeremih', 'Boosie Badazz']",Made Me (Remix),241000,True,1YXg2Chm7UfZAUAkjJEpqK,4,0.789735,0.649765,-6.113,0.160696,146.046,Made Me (Remix)
Last All Night (Koala) [feat. KStewart] - Reso Remix,6ZEcErIc64INOSgWfftQgv,"['Oliver Heldens', 'K. Stewart']",Last All Night (Koala) [feat. KStewart] [Remixes],256242,False,5nki7yRhxgM509M5ADlN1p,2,0.491296,0.864338,-4.322,0.041836,172.016,Last All Night (Koala) [feat. KStewart] [Reso Remix]
"Love, Love, Love",5sOtiJISUHM2KIE35MFR8E,['EXO-K'],The 2nd Mini Album '중독 Overdose',233531,False,6wPBIyIIMxoqgux29bGF8I,1,0.65521,0.878077,-4.241,0.104619,129.998,Love Love Love
How Do You Know?,3KmJKiZcbn1FLdqRsrdHCG,['K. Michelle'],Anybody Wanna Buy A Heart?,215386,False,2retT7MFwHDVTeGKDdybEx,1,0.427134,0.379654,-5.894,0.035183,123.311,How Do You Know?
K I X S - Original Mix,47z9VJHKlnYa1EWGSQtiLg,['Moguai'],K I X S,337485,False,4xgFgBZ7CRtgtHcziClOwQ,1,0.721967,0.678412,-5.532,0.08524,128.0,K I X S - Original Mix
Going Under,5qbOcTuNqXKnNeet9IKTCi,['K. Michelle'],Anybody Wanna Buy A Heart?,233600,True,2retT7MFwHDVTeGKDdybEx,1,0.393411,0.720697,-5.948,0.054054,96.813,Going Under
On My Own,1PVjqvOBpWn5Z5iI2oxc3K,"['Epidemic Sound', 'Ms. K']",On My Own,189375,False,1V9ATttwgV5rW765gKwzO8,2,0.67797,0.555853,-6.494,0.036323,128.048,On My Own
