song_name,artists,album,duration_ms,popularity,explicit,available_markets
A Place Like This,['Majid Jordan'],A Place Like This,261543,62,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Take A Bite (Original mix),['Vigiland'],Take A Bite (Original Mix),197831,47,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
A Sky Full of Stars,['Coldplay'],Ghost Stories,268466,81,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Like a Drum,['Guy Sebastian'],Like a Drum,182133,58,False,"[u'AD', u'AT', u'BE', u'BG', u'CA', u'CY', u'CZ', u'DE', u'DK', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'HU', u'IE', u'IS', u'IT', u'LT', u'LU', u'LV', u'MC', u'MT', u'NL', u'PT', u'RO', u'SE', u'SI', u'SK', u'US']"
Once in a Lifetime,['One Direction'],FOUR (Deluxe),158320,67,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
Once Upon a Dream,['Lana Del Rey'],"Once Upon a Dream (from ""Maleficent"") [Original Motion Picture Soundtrack]",203080,56,False,"[u'AD', u'AT', u'AU', u'BE', u'BG', u'CH', u'CY', u'CZ', u'DE', u'DK', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'HK', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NL', u'NO', u'NZ', u'PH', u'PL', u'PT', u'RO', u'SE', u'SG', u'SI', u'SK', u'TR', u'TW']"
Edge Of A Revolution,['Nickelback'],No Fixed Address,243053,56,True,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
Try to Make a Fire Burn Again,['Dawn Landes'],Bluebird,182374,61,False,"[u'AD', u'AR', u'AT', u'BE', u'BG', u'BO', u'BR', u'CA', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MX', u'MY', u'NI', u'NL', u'NO', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'US', u'UY']"
"Black Pearl ""He's A Pirate"" - feat. Sidney Housen [Radio Edit]","['Rebel', 'Sidneyhousen']",Black Pearl,200624,58,False,"[u'DK', u'FI', u'IS', u'NO', u'SE']"
Let’s Go,"['Ti\xc3\xabsto', 'Icona Pop']",A Town Called Paradise,202400,62,False,"[u'AD', u'AR', u'AT', u'AU', u'BE', u'BG', u'BO', u'BR', u'CH', u'CL', u'CO', u'CR', u'CY', u'CZ', u'DE', u'DK', u'DO', u'EC', u'EE', u'ES', u'FI', u'FR', u'GB', u'GR', u'GT', u'HK', u'HN', u'HU', u'IE', u'IS', u'IT', u'LI', u'LT', u'LU', u'LV', u'MC', u'MT', u'MY', u'NI', u'NL', u'NO', u'NZ', u'PA', u'PE', u'PH', u'PL', u'PT', u'PY', u'RO', u'SE', u'SG', u'SI', u'SK', u'SV', u'TR', u'TW', u'UY']"
