song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,acousticness,key,liveness,mode,time_signature,valence,song_title_en,outcome
Engel,4oh4LNSZDU1O9G4BfgDUsN,"['Admiral P', 'Nico D']",Selvtillit & tro,187840,FALSE,2P87oRX5tCFl1PYQRbPCPD,2,0.64392,0.68443,-4.213,0.201141,82.184,0.382965,1,0.094518,1,4,0.497225,Engel,0
I Be U,4PjP1pyA9pDDByAheDumTH,['Future'],Honest,232666,TRUE,1RyvyyTE3xzB2ZywiAwp0i,1,0.594472,0.585018,-7.996,0.087728,149.98,0.198133,4,0.138321,1,4,0.430473,I Be U,0
T-Ã¥-l-a-m-o-d,1MgL8s2rr8S2oKFB5710Zx,['Erik Tilling'],Hel,195026,FALSE,107OWcqyN67PVaVUrbs8pK,1,0.68332,0.582762,-8.684,0.026448,114.993,0.049254,5,0.105417,1,4,0.425284,T-Ã¥-l-a-m-o-d,0
Masterpiece,7nToEPuB95Y5rsJ3VrH3wQ,['Jessie J'],Sweet Talker (Deluxe Version),220653,FALSE,2gsggkzM5R49q6jpPvazou,1,0.658251,0.735311,-2.666,0.043593,143.888,0.016905,0,0.096737,0,4,0.599061,Masterpiece,0
They Don't Love You No More (feat. JAY Z & French Montana),30fqPwmpz190XDjiGPaPVP,"['Meek Mill', 'Rick Ross', 'Wale', 'JAY Z', 'French Montana']",Maybach All Star,265243,TRUE,20sxb77xiYeusSH8cVdatc,5,0.378228,0.801714,-3.429,0.275469,92.453,0.020978,1,0.480367,1,4,0.365718,They Dont Love You,0
Drunk in Love Remix,0FZmAvivvifvtN3pZScbw1,"['Beyonc\xc3\xa9', 'JAY Z', 'Kanye West']",BEYONCÃ‰ [Platinum Edition],395986,TRUE,6vWDO969PvNqNYHIOW5v0m,3,0.513586,0.763319,-3.58,0.052014,139.748,0.160545,10,0.117803,0,4,0.468804,Drunk in Love Remix,0
Finders Keepers (Nire Remix) â€“ (feat. Nani Castle),0XNpAgaUtU6HvYYA5nhyUB,"['Gnucci', 'Nani Castle']",F!,224440,FALSE,370RJTpcgcUSfYTR3gau1x,2,0.61659,0.764798,-5.268,0.069773,79.966,0.012499,4,0.051967,1,4,0.464796,Finders Keepers (feat. Nani Castle) [Nire Remix],0
Dirty Dancing,3nosBSD7LoP7wXiQFD9SRC,"['Tion Phipps', 'Ca$h Out']",Dirty Dancing (feat. Ca$h Out) - Single,189960,TRUE,5KG3hJkpMOHos8yaEyLMSF,2,0.504059,0.531587,-9.071,0.088207,99.794,0.002145,10,0.240892,0,4,0.306288,Dirty Dancing,0
The Prophet,7i6K3Kb7PDRpolgfkC1DAB,['Jamie T'],Carry On The Grudge,254986,TRUE,3Rsr4Z96O6U3lToOiV3zBh,1,0.590319,0.367222,-10.088,0.035829,99.801,0.656405,4,0.324074,1,4,0.179423,The Prophet,0
Lucky L - Sean & Bobo Remix,5T9vbEhTP57hGpqgkQZOeU,['B Case'],Lucky L (Remixes),304350,FALSE,1o9x7ez0NvhDb7gBqrYnUj,1,0.620225,0.776252,-3.495,0.044508,130.023,0.017764,9,0.078246,1,4,0.143279,Lucky L (Sean & Bobo Remix),0
